Tick 413(359), Delay 45 ms, IGT 00:17.909, RTA 00:17.886-00:17.931
Tick 414(360), Delay 45 ms, IGT 00:17.959, RTA 00:17.931-00:17.976
Tick 415(361), Delay 62 ms, IGT 00:18.009, RTA 00:17.976-00:18.038
Tick 416(362), Delay 44 ms, IGT 00:18.059, RTA 00:18.038-00:18.082
Tick 428(374), Delay 45 ms, IGT 00:18.659, RTA 00:18.632-00:18.677
Tick 445(391), Delay 45 ms, IGT 00:19.509, RTA 00:19.480-00:19.525
Tick 451(397), Delay 56 ms, IGT 00:19.809, RTA 00:19.775-00:19.831
Tick 453(399), Delay 45 ms, IGT 00:19.909, RTA 00:19.882-00:19.927
Tick 454(400), Delay 57 ms, IGT 00:19.959, RTA 00:19.927-00:19.984
Tick 464(410), Delay 55 ms, IGT 00:20.459, RTA 00:20.425-00:20.480
Tick 466(412), Delay 56 ms, IGT 00:20.559, RTA 00:20.527-00:20.583
Tick 473(419), Delay 44 ms, IGT 00:20.909, RTA 00:20.881-00:20.925
Tick 479(425), Delay 55 ms, IGT 00:21.209, RTA 00:21.176-00:21.231
Tick 481(427), Delay 55 ms, IGT 00:21.309, RTA 00:21.280-00:21.335
Tick 484(430), Delay 55 ms, IGT 00:21.459, RTA 00:21.428-00:21.483
Tick 486(432), Delay 44 ms, IGT 00:21.559, RTA 00:21.535-00:21.579
Tick 489(435), Delay 59 ms, IGT 00:21.709, RTA 00:21.683-00:21.742
Tick 490(436), Delay 41 ms, IGT 00:21.759, RTA 00:21.742-00:21.783
Tick 493(439), Delay 91 ms, IGT 00:21.909, RTA 00:21.877-00:21.968
Tick 494(440), Delay 17 ms, IGT 00:21.959, RTA 00:21.968-00:21.985
Tick 495(441), Delay 40 ms, IGT 00:22.009, RTA 00:21.985-00:22.025
Tick 500(446), Delay 42 ms, IGT 00:22.259, RTA 00:22.237-00:22.279
Tick 513(459), Delay 68 ms, IGT 00:22.909, RTA 00:22.876-00:22.944
Tick 514(460), Delay 40 ms, IGT 00:22.959, RTA 00:22.944-00:22.984
Tick 517(463), Delay 59 ms, IGT 00:23.109, RTA 00:23.078-00:23.137
Tick 518(464), Delay 55 ms, IGT 00:23.159, RTA 00:23.137-00:23.192
Tick 519(465), Delay 66 ms, IGT 00:23.209, RTA 00:23.192-00:23.258
Tick 520(466), Delay 35 ms, IGT 00:23.259, RTA 00:23.258-00:23.293
Tick 521(467), Delay 64 ms, IGT 00:23.309, RTA 00:23.293-00:23.357
Tick 522(468), Delay 37 ms, IGT 00:23.359, RTA 00:23.357-00:23.394
Tick 524(470), Delay 37 ms, IGT 00:23.459, RTA 00:23.441-00:23.478
Tick 526(472), Delay 57 ms, IGT 00:23.559, RTA 00:23.532-00:23.589
Tick 527(473), Delay 41 ms, IGT 00:23.609, RTA 00:23.589-00:23.630
Tick 532(478), Delay 45 ms, IGT 00:23.859, RTA 00:23.829-00:23.874
Tick 536(482), Delay 57 ms, IGT 00:24.059, RTA 00:24.029-00:24.086
Tick 537(483), Delay 41 ms, IGT 00:24.109, RTA 00:24.086-00:24.127
Tick 538(484), Delay 57 ms, IGT 00:24.159, RTA 00:24.127-00:24.184
Tick 541(487), Delay 55 ms, IGT 00:24.309, RTA 00:24.283-00:24.338
Tick 542(488), Delay 42 ms, IGT 00:24.359, RTA 00:24.338-00:24.380
Tick 546(492), Delay 45 ms, IGT 00:24.559, RTA 00:24.530-00:24.575
Tick 552(498), Delay 44 ms, IGT 00:24.859, RTA 00:24.832-00:24.876
Tick 561(507), Delay 55 ms, IGT 00:25.309, RTA 00:25.278-00:25.333
Tick 562(508), Delay 44 ms, IGT 00:25.359, RTA 00:25.333-00:25.377
Tick 570(516), Delay 44 ms, IGT 00:25.759, RTA 00:25.732-00:25.776
Tick 571(517), Delay 55 ms, IGT 00:25.809, RTA 00:25.776-00:25.831
Tick 575(521), Delay 44 ms, IGT 00:26.009, RTA 00:25.982-00:26.026
Tick 596(542), Delay 58 ms, IGT 00:27.059, RTA 00:27.026-00:27.084
Tick 597(543), Delay 41 ms, IGT 00:27.109, RTA 00:27.084-00:27.125
Tick 620(566), Delay 73 ms, IGT 00:28.259, RTA 00:28.225-00:28.298
Tick 621(567), Delay 27 ms, IGT 00:28.309, RTA 00:28.298-00:28.325
Tick 668(614), Delay 55 ms, IGT 00:30.659, RTA 00:30.624-00:30.679
Tick 713(659), Delay 55 ms, IGT 00:32.909, RTA 00:32.874-00:32.929
Tick 718(664), Delay 45 ms, IGT 00:33.159, RTA 00:33.129-00:33.174
Tick 749(695), Delay 45 ms, IGT 00:34.709, RTA 00:34.680-00:34.725
